,Var,Min
0,0.000000003716157,-0.995946430727993
1,0.000000036068104,-0.750884248900036
2,0.000000175497251,-0.505822067072078
3,0.000000472974911,-0.260759885244121
4,0.000000787204730,-0.015697703416163
5,0.000000952385270,0.229364478411795
6,0.000001006737017,0.474426660239752
7,0.000001092045636,0.719488842067710
8,0.000001376060431,0.964551023895667
9,0.000001929139462,1.209613205723625
10,0.000002585390273,1.454675387551583
11,0.000003305410291,1.699737569379540
12,0.000004563190833,1.944799751207498
13,0.000006813317773,2.189861933035456
14,0.000009793044598,2.434924114863413
15,0.000013032490142,2.679986296691371
16,0.000016731733251,2.925048478519328
17,0.000021138325986,3.170110660347286
18,0.000025953609999,3.415172842175243
19,0.000031279508268,3.660235024003200
20,0.000037818282022,3.905297205831158
21,0.000045716420278,4.150359387659116
22,0.000054321428881,4.395421569487073
23,0.000064240967671,4.640483751315031
24,0.000078039569273,4.885545933142989
25,0.000096942734369,5.130608114970946
26,0.000119468000158,5.375670296798904
27,0.000144918461575,5.620732478626862
28,0.000175382137511,5.865794660454819
29,0.000213458754673,6.110856842282777
30,0.000258949766595,6.355919024110735
31,0.000311769406781,6.600981205938692
32,0.000377213892848,6.846043387766650
33,0.000460237093921,7.091105569594607
34,0.000562629022167,7.336167751422565
35,0.000685518702501,7.581229933250523
36,0.000828775614369,7.826292115078481
37,0.000994689745621,8.071354296906438
38,0.001191143528649,8.316416478734395
39,0.001425589761548,8.561478660562353
40,0.001702840680491,8.806540842390310
41,0.002027950056862,9.051603024218268
42,0.002405767050226,9.296665206046226
43,0.002842048849597,9.541727387874184
44,0.003341275111711,9.786789569702140
45,0.003907511136478,10.031851751530098
46,0.004551234671657,10.276913933358056
47,0.005284985697321,10.521976115186014
48,0.006122156853814,10.767038297013972
49,0.007082223711228,11.012100478841930
50,0.008189948232051,11.257162660669886
51,0.009466058841462,11.502224842497844
52,0.010915347914296,11.747287024325802
53,0.012532585399613,11.992349206153760
54,0.014328584695250,12.237411387981718
55,0.016341280835404,12.482473569809676
56,0.018608198457344,12.727535751637632
57,0.021152923920749,12.972597933465590
58,0.024004302149835,13.217660115293548
59,0.027194860084488,13.462722297121505
60,0.030730742318831,13.707784478949463
61,0.034605471597311,13.952846660777421
62,0.038852085666553,14.197908842605377
63,0.043524076456117,14.442971024433335
64,0.048644021526792,14.688033206261293
65,0.054221214319967,14.933095388089251
66,0.060283749324463,15.178157569917207
67,0.066853609575925,15.423219751745165
68,0.073927825861707,15.668281933573123
69,0.081516460196008,15.913344115401081
70,0.089673308504258,16.158406297229039
71,0.098469325059371,16.403468479056997
72,0.107941565980896,16.648530660884955
73,0.118086893403362,16.893592842712913
74,0.128890351294363,17.138655024540871
75,0.140343777302071,17.383717206368829
76,0.152450838857167,17.628779388196783
77,0.165223375837571,17.873841570024741
78,0.178657214344785,18.118903751852699
79,0.192754426708742,18.363965933680657
80,0.207525151050119,18.609028115508615
81,0.222930257768791,18.854090297336572
82,0.238937244342873,19.099152479164530
83,0.255562109804161,19.344214660992488
84,0.272799495872973,19.589276842820446
85,0.290608543968938,19.834339024648404
86,0.308967971462851,20.079401206476362
87,0.327858837087981,20.324463388304320
88,0.347206348462081,20.569525570132274
89,0.366924599865663,20.814587751960232
90,0.386972706631373,21.059649933788190
91,0.407327773476321,21.304712115616148
92,0.427952713925894,21.549774297444106
93,0.448769176035440,21.794836479272064
94,0.469699062951299,22.039898661100022
95,0.490716779771063,22.284960842927980
96,0.511799037280985,22.530023024755938
97,0.532859887824742,22.775085206583896
98,0.553792071766444,23.020147388411853
99,0.574555709960242,23.265209570239808
100,0.595132583838858,23.510271752067766
101,0.615447437195187,23.755333933895724
102,0.635422796092424,24.000396115723682
103,0.655010490352666,24.245458297551640
104,0.674174985341287,24.490520479379597
105,0.692920894253250,24.735582661207555
106,0.711233878225488,24.980644843035513
107,0.729032125504097,25.225707024863471
108,0.746239223335562,25.470769206691429
109,0.762852281965447,25.715831388519387
110,0.778885231235023,25.960893570347345
111,0.794301122798985,26.205955752175299
112,0.809066579126613,26.451017934003257
113,0.823174708493196,26.696080115831215
114,0.836611470371477,26.941142297659173
115,0.849357703483941,27.186204479487131
116,0.861411087829095,27.431266661315089
117,0.872784840204124,27.676328843143047
118,0.883487132309016,27.921391024971005
119,0.893523819082064,28.166453206798963
120,0.902920047801330,28.411515388626920
121,0.911690172601918,28.656577570454878
122,0.919838121953885,28.901639752282836
123,0.927393367749956,29.146701934110791
124,0.934388690265313,29.391764115938749
125,0.940841273470699,29.636826297766707
126,0.946779000761202,29.881888479594664
127,0.952243743600042,30.126950661422622
128,0.957268179533169,30.372012843250580
129,0.961855715041942,30.617075025078538
130,0.966009067461285,30.862137206906496
131,0.969771079766271,31.107199388734454
132,0.973194069491323,31.352261570562408
133,0.976301278045987,31.597323752390370
134,0.979102696853137,31.842385934218324
135,0.981620962552505,32.087448116046289
136,0.983889738723606,32.332510297874244
137,0.985930456662374,32.577572479702205
138,0.987743955250736,32.822634661530159
139,0.989338761316677,33.067696843358121
140,0.990741463755765,33.312759025186075
141,0.991974521027592,33.557821207014030
142,0.993056043460124,33.802883388841991
143,0.994009200191871,34.047945570669945
144,0.994854375851365,34.293007752497907
145,0.995602034926100,34.538069934325861
146,0.996254822040736,34.783132116153823
147,0.996813998621523,35.028194297981777
148,0.997293049190896,35.273256479809739
149,0.997709000898540,35.518318661637693
150,0.998068050821413,35.763380843465654
151,0.998371743280156,36.008443025293609
152,0.998625777934693,36.253505207121563
153,0.998842000185169,36.498567388949525
154,0.999028598236074,36.743629570777479
155,0.999187395035008,36.988691752605440
156,0.999321506320488,37.233753934433395
157,0.999434540870635,37.478816116261356
158,0.999530928131045,37.723878298089311
159,0.999614302667983,37.968940479917272
160,0.999683362532870,38.214002661745226
161,0.999738184714742,38.459064843573188
162,0.999783409557631,38.704127025401142
163,0.999822263146175,38.949189207229097
164,0.999855410678700,39.194251389057058
165,0.999883180518784,39.439313570885012
166,0.999906446831752,39.684375752712974
167,0.999926136813697,39.929437934540928
168,0.999942017660703,40.174500116368890
169,0.999953712605950,40.419562298196844
170,0.999962218990234,40.664624480024806
171,0.999968593020583,40.909686661852760
172,0.999973430353955,41.154748843680721
173,0.999977497757934,41.399811025508676
174,0.999981392954218,41.644873207336637
175,0.999984815077533,41.889935389164592
176,0.999987158798102,42.134997570992546
177,0.999988495676041,42.380059752820507
178,0.999989400527289,42.625121934648462
179,0.999990554098620,42.870184116476423
180,0.999992244367700,43.115246298304378
181,0.999993994197000,43.360308480132339
182,0.999995390301831,43.605370661960293
183,0.999996588085196,43.850432843788255
184,0.999997487897326,44.095495025616209
185,0.999997892416679,44.340557207444171
186,0.999997987980799,44.585619389272125
187,0.999997999626807,44.830681571100079
188,0.999998002863181,45.075743752928041
189,0.999998027387579,45.320805934755995
190,0.999998144664211,45.565868116583957
191,0.999998422835875,45.810930298411911
192,0.999998754138451,46.055992480239873
193,0.999998985861319,46.301054662067827
194,0.999999204527383,46.546116843895788
195,0.999999526461296,46.791179025723743
196,0.999999824483415,47.036241207551704
197,0.999999963931565,47.281303389379659
198,0.999999996283841,47.526365571207613
199,1.000000000000000,47.771427753035574
